"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount"
"04/06/2026","Buy","WHWK","WHITEHAWK THERAPEUTICS I","1,000","$3.5362","","-$3536.20"
"04/06/2026","Qualified Dividend","WMT","WALMART INC","","","","$27.23"
"04/02/2026","Sell to Open","MSFT 04/24/2026 360.00 P","PUT MICROSOFT CORP $360 EXP 04/24/26","1","$5.10","$0.66","$509.34"
"04/02/2026","Buy to Open","MSFT 04/24/2026 340.00 P","PUT MICROSOFT CORP $340 EXP 04/24/26","1","$1.59","$0.66","-$159.66"
"04/02/2026","Sell to Close","NOK 01/21/2028 7.00 C","CALL NOKIA CORP $7 EXP 01/21/28","9","$2.95","$5.99","$2649.01"
"04/02/2026","Sell to Close","MSFT 04/17/2026 370.00 C","CALL MICROSOFT CORP $370 EXP 04/17/26","2","$9.07","$1.33","$1812.67"
"04/02/2026","Buy","CNTB","CONNECT BIOPHARMA HLDG F","1","$2.90","","-$2.90"
"04/01/2026","Buy","ORCL","ORACLE CORP","50","$145.4435","","-$7272.18"
"04/01/2026","Buy to Open","NVDA 12/15/2028 180.00 C","CALL NVIDIA CORP $180 EXP 12/15/28","1","$57.20","$0.66","-$5720.66"
"04/01/2026","Buy to Open","NKE 12/17/2027 45.00 C","CALL NIKE INC $45 EXP 12/17/27","1","$9.60","$0.66","-$960.66"
"04/01/2026","Buy to Open","MSFT 04/17/2026 370.00 P","PUT MICROSOFT CORP $370 EXP 04/17/26","1","$8.85","$0.66","-$885.66"
"04/01/2026","Buy to Open","MSFT 04/17/2026 370.00 C","CALL MICROSOFT CORP $370 EXP 04/17/26","1","$8.58","$0.66","-$858.66"
"04/01/2026","Buy to Open","MSFT 04/17/2026 370.00 C","CALL MICROSOFT CORP $370 EXP 04/17/26","1","$8.45","$0.66","-$845.66"
"04/01/2026","Buy to Close","SPY 04/06/2026 650.00 C","CALL STATE STREET SPDR S$650 EXP 04/06/26","1","$8.93","$0.66","-$893.66"
"04/01/2026","Sell to Close","SPY 04/06/2026 666.00 C","CALL STATE STREET SPDR S$666 EXP 04/06/26","1","$1.27","$0.66","$126.34"
"04/01/2026","Sell","MSFT","MICROSOFT CORP","20","$374.20","","$7484.00"
"04/01/2026","Buy","MSFT","MICROSOFT CORP","20","$372.62","","-$7452.40"
"03/31/2026","Sell","VXUS","VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND ETF SHARES","1","$77.00","","$77.00"
"03/31/2026","Buy to Open","SPY 04/06/2026 666.00 C","CALL STATE STREET SPDR S$666 EXP 04/06/26","1","$0.90","$0.66","-$90.66"
"03/31/2026","Sell to Open","SPY 04/06/2026 650.00 C","CALL STATE STREET SPDR S$650 EXP 04/06/26","1","$6.81","$0.66","$680.34"
"03/31/2026","Sell","BND","VANGUARD TOTAL BOND MARKET INDEX FUND ETF SHARES","1","$73.695","","$73.70"
"03/31/2026","Sell","RIVN","RIVIAN AUTOMOTIVE INC CLASS CLASS A","300","$15.0961","$0.06","$4528.77"
"03/31/2026","Cash Dividend","VTI","VANGUARD TOTAL STOCK MARKET INDEX FUND ETF SHARES","","","","$1.00"
"03/31/2026","Buy to Open","NOK 01/21/2028 7.00 C","CALL NOKIA CORP $7 EXP 01/21/28","3","$2.35","$1.99","-$706.99"
"03/31/2026","Sell","PAYP","PAYPAY CORP FUNSPONSORED ADR 1 ADR REPS 1 ORD SHS","100","$21.0887","$0.02","$2108.85"
"03/31/2026","Sell","NVDA","NVIDIA CORP","20","$169.0301","","$3380.60"
"03/31/2026","Buy","NVDA","NVIDIA CORP","20","$165.95","","-$3319.00"
"03/30/2026","Buy","RIVN","RIVIAN AUTOMOTIVE INC CLASS CLASS A","100","$14.5299","","-$1452.99"
"03/30/2026","Buy","PAYP","PAYPAY CORP FUNSPONSORED ADR 1 ADR REPS 1 ORD SHS","100","$20.00","","-$2000.00"
"03/30/2026","Sell","MCD","MCDONALDS CORP","10","$309.0351","","$3090.35"
"03/30/2026","Sell","AMD","ADVANCED MICRO DEVIC","10","$207.595","","$2075.95"
"03/30/2026","Sell","META","META PLATFORMS INC CLASS CLASS A","10","$532.9429","","$5329.43"
"03/30/2026","Sell","NVDA","NVIDIA CORP","20","$169.0891","","$3381.78"
"03/30/2026","Buy","META","META PLATFORMS INC CLASS CLASS A","10","$528.655","","-$5286.55"
"03/30/2026","Buy","NVDA","NVIDIA CORP","20","$165.86","","-$3317.20"
"03/27/2026","Buy","RIVN","RIVIAN AUTOMOTIVE INC CLASS CLASS A","100","$14.75","","-$1475.00"
"03/27/2026","Buy to Open","NOK 01/21/2028 7.00 C","CALL NOKIA CORP $7 EXP 01/21/28","3","$2.45","$1.99","-$736.99"
"03/27/2026","Buy","MCD","MCDONALDS CORP","10","$305.70","","-$3057.00"
"03/27/2026","Buy","RIVN","RIVIAN AUTOMOTIVE INC CLASS CLASS A","100","$15.00","","-$1500.00"
"03/26/2026","Sell to Close","SPY 04/01/2026 689.00 C","CALL STATE STREET SPDR S$689 EXP 04/01/26","1","$0.03","$0.66","$2.34"
"03/26/2026","Buy to Close","SPY 04/01/2026 673.00 C","CALL STATE STREET SPDR S$673 EXP 04/01/26","1","$0.55","$0.66","-$55.66"
"03/26/2026","Buy","AMD","ADVANCED MICRO DEVIC","10","$205.00","","-$2050.00"
"03/25/2026","Buy to Open","SPY 04/01/2026 689.00 C","CALL STATE STREET SPDR S$689 EXP 04/01/26","1","$0.16","$0.66","-$16.66"
"03/25/2026","Sell to Open","SPY 04/01/2026 673.00 C","CALL STATE STREET SPDR S$673 EXP 04/01/26","1","$2.33","$0.66","$232.34"
"03/25/2026","Sell to Close","JPM 04/02/2026 297.50 C","CALL JPMORGAN CHASE & CO$297.5 EXP 04/02/26","1","$4.20","$0.66","$419.34"
"03/25/2026","Buy to Open","JPM 04/02/2026 297.50 C","CALL JPMORGAN CHASE & CO$297.5 EXP 04/02/26","1","$4.40","$0.66","-$440.66"
"03/25/2026","Sell","MSFT","MICROSOFT CORP","20","$378.00","","$7560.00"
"03/24/2026","Buy","MSFT","MICROSOFT CORP","10","$373.60","","-$3736.00"
"03/24/2026","Sell","WMT","WALMART INC","110","$123.29","$0.02","$13561.88"
"03/24/2026","Sell","NOK","NOKIA CORP FSPONSORED ADR 1 ADR REPS 1 ORD SHS","500","$8.2301","$0.10","$4114.95"
"03/24/2026","Buy","NOK","NOKIA CORP FSPONSORED ADR 1 ADR REPS 1 ORD SHS","500","$8.01","","-$4005.00"
"03/24/2026","Cash Dividend","VXUS","VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND ETF SHARES","","","","$0.08"
"03/24/2026","Buy","MSFT","MICROSOFT CORP","10","$382.382","","-$3823.82"
"03/24/2026","Sell","SPY","STATE STREET SPDR S&P ...500 ETF TRUST","10","$656.34","","$6563.40"
"03/24/2026","Buy","SPY","STATE STREET SPDR S&P ...500 ETF TRUST","10","$652.93","","-$6529.30"
"03/23/2026","Sell to Close","RIVN 12/15/2028 15.00 C","CALL RIVIAN AUTOMOTIVE I$15 EXP 12/15/28","2","$8.30","$1.33","$1658.67"
"03/23/2026","Sell","NVDA","NVIDIA CORP","100","$177.115","$0.02","$17711.48"
"03/23/2026","Sell to Close","NVDA 04/02/2026 185.00 C","CALL NVIDIA CORP $185 EXP 04/02/26","1","$1.24","$0.66","$123.34"
"03/23/2026","Sell","AMZN","AMAZON.COM INC","10","$207.932","","$2079.32"
"03/23/2026","Sell","SPY","STATE STREET SPDR S&P ...500 ETF TRUST","10","$665.00","","$6650.00"
"03/20/2026","Buy","AMZN","AMAZON.COM INC","10","$205.00","","-$2050.00"
"03/20/2026","Buy to Open","NOK 01/21/2028 7.00 C","CALL NOKIA CORP $7 EXP 01/21/28","1","$2.43","$0.66","-$243.66"
"03/20/2026","Buy to Open","RIVN 12/15/2028 15.00 C","CALL RIVIAN AUTOMOTIVE I$15 EXP 12/15/28","1","$7.70","$0.66","-$770.66"
"03/20/2026","Buy","NVDA","NVIDIA CORP","100","$178.77","","-$17877.00"
"03/19/2026","Buy","WMT","WALMART INC","90","$121.3958","","-$10925.62"
"03/19/2026","Buy to Open","NOK 01/21/2028 7.00 C","CALL NOKIA CORP $7 EXP 01/21/28","1","$2.61","$0.66","-$261.66"
"03/19/2026","Buy to Open","RIVN 12/15/2028 15.00 C","CALL RIVIAN AUTOMOTIVE I$15 EXP 12/15/28","1","$8.45","$0.66","-$845.66"
"03/19/2026","Buy","PBF","PBF ENERGY INC CLASS CLASS A","1","$48.245","","-$48.25"
"03/18/2026","Buy","SPY","STATE STREET SPDR S&P ...500 ETF TRUST","10","$661.3848","","-$6613.85"
"03/18/2026","Sell to Close","SPY 04/24/2026 682.00 C","CALL STATE STREET SPDR S$682 EXP 04/24/26","1","$6.95","$0.66","$694.34"
"03/18/2026","Buy to Close","SPY 04/24/2026 668.00 C","CALL STATE STREET SPDR S$668 EXP 04/24/26","1","$13.96","$0.66","-$1396.66"
"03/18/2026","Buy to Open","NOK 01/21/2028 7.00 C","CALL NOKIA CORP $7 EXP 01/21/28","1","$2.82","$0.66","-$282.66"
"03/18/2026","Buy","WMT","WALMART INC","10","$122.9487","","-$1229.49"
"03/17/2026","Buy to Open","NVDA 04/02/2026 185.00 C","CALL NVIDIA CORP $185 EXP 04/02/26","1","$4.75","$0.66","-$475.66"
"03/17/2026","Buy to Close","SPY 04/10/2026 720.00 C","CALL STATE STREET SPDR S$720 EXP 04/10/26","1","$0.09","$0.66","-$9.66"
"03/17/2026","Sell to Close","SPY 04/10/2026 698.00 C","CALL STATE STREET SPDR S$698 EXP 04/10/26","1","$1.90","$0.66","$189.34"
"03/16/2026","Sell to Open","SPY 04/24/2026 668.00 C","CALL STATE STREET SPDR S$668 EXP 04/24/26","1","$18.37","$0.66","$1836.34"
"03/16/2026","Buy to Open","SPY 04/24/2026 682.00 C","CALL STATE STREET SPDR S$682 EXP 04/24/26","1","$10.26","$0.66","-$1026.66"
"03/16/2026","Sell to Open","SPY 04/10/2026 720.00 C","CALL STATE STREET SPDR S$720 EXP 04/10/26","1","$0.08","$0.66","$7.34"
"03/16/2026","Buy to Open","SPY 04/10/2026 698.00 C","CALL STATE STREET SPDR S$698 EXP 04/10/26","1","$1.68","$0.66","-$168.66"
"03/16/2026","Sell to Close","SPY 03/27/2026 668.00 P","PUT STATE STREET SPDR S&$668 EXP 03/27/26","2","$9.60","$1.33","$1918.67"
"03/16/2026","Buy to Open","SPY 03/27/2026 668.00 P","PUT STATE STREET SPDR S&$668 EXP 03/27/26","1","$9.86","$0.66","-$986.66"
"03/16/2026","Buy to Open","SPY 03/27/2026 668.00 P","PUT STATE STREET SPDR S&$668 EXP 03/27/26","1","$10.14","$0.66","-$1014.66"
"03/16/2026","Sell","UAL","UNITED AIRLINES HLDG","20","$88.7309","","$1774.62"
"03/16/2026 as of 03/15/2026","Bank Interest","","BANK INT ...526 SCHWAB BANK","","","","$0.15"
"03/13/2026","Buy","VXUS","VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND ETF SHARES","1","$76.93","","-$76.93"
"03/13/2026","Buy","VTI","VANGUARD TOTAL STOCK MARKET INDEX FUND ETF SHARES","1","$326.4753","","-$326.48"
"03/13/2026","Buy","BND","VANGUARD TOTAL BOND MARKET INDEX FUND ETF SHARES","1","$73.5649","","-$73.56"
"03/12/2026","Buy to Open","GIS 01/21/2028 45.00 C","CALL GENERAL MILLS INC $45 EXP 01/21/28","1","$3.90","$0.66","-$390.66"
"03/12/2026","Buy to Open","GIS 01/21/2028 45.00 C","CALL GENERAL MILLS INC $45 EXP 01/21/28","1","$4.10","$0.66","-$410.66"
"03/12/2026","Buy to Open","DB 01/21/2028 30.00 C","CALL DEUTSCHE BANK AG $30 EXP 01/21/28","1","$7.30","$0.66","-$730.66"
"03/12/2026","Buy","UAL","UNITED AIRLINES HLDG","10","$86.785","","-$867.85"
"03/11/2026","Buy","PANL","PANGAEA LOGISTICS SOLU F","100","$7.1985","","-$719.85"
"03/11/2026","Buy","MKC","MCCORMICK & CO INC CLASS CLASS N","10","$60.2571","","-$602.57"
"03/11/2026","Buy","UAL","UNITED AIRLINES HLDG","10","$90.00","","-$900.00"
"03/10/2026","Sell to Close","RIVN 12/15/2028 15.00 C","CALL RIVIAN AUTOMOTIVE I$15 EXP 12/15/28","1","$9.25","$0.66","$924.34"
"03/10/2026","Buy","WMT","WALMART INC","10","$124.07","","-$1240.70"
"03/06/2026","Buy to Open","RIVN 12/15/2028 15.00 C","CALL RIVIAN AUTOMOTIVE I$15 EXP 12/15/28","1","$7.90","$0.66","-$790.66"
"03/05/2026","Buy to Open","GIS 01/21/2028 45.00 C","CALL GENERAL MILLS INC $45 EXP 01/21/28","1","$5.80","$0.66","-$580.66"
"03/04/2026","Sell","GOOG","ALPHABET INC CLASS CLASS C","50","$305.01","$0.01","$15250.49"
"03/04/2026","Sell","NVDA","NVIDIA CORP","100","$181.9454","$0.02","$18194.52"
"03/03/2026","Buy","GOOG","ALPHABET INC CLASS CLASS C","50","$303.7099","","-$15185.50"
"03/03/2026","Buy","NVDA","NVIDIA CORP","100","$180.05","","-$18005.00"
"03/03/2026","Funds Received","","IRA ROLLOVER CONT","","","","$49798.28"
